 ?, Some-college, Husband, Male, >50K
 Local-gov, Masters, Not-in-family, Female, <=50K
 Local-gov, Some-college, Unmarried, Female, <=50K
 Local-gov, HS-grad, Husband, Male, >50K
 Local-gov, HS-grad, Husband, Male, <=50K
 Local-gov, Assoc-voc, Unmarried, Female, <=50K
 Local-gov, Assoc-voc, Not-in-family, Male, <=50K
 Local-gov, Some-college, Not-in-family, Female, <=50K
 Local-gov, Bachelors, Own-child, Female, <=50K
 Local-gov, Assoc-voc, Unmarried, Female, <=50K
 Local-gov, 11th, Husband, Male, <=50K
 Local-gov, 7th-8th, Husband, Male, <=50K
 Local-gov, HS-grad, Husband, Male, <=50K
 Local-gov, Some-college, Husband, Male, <=50K
 Local-gov, Some-college, Not-in-family, Female, <=50K
 Local-gov, Masters, Husband, Male, >50K
 Local-gov, Some-college, Other-relative, Male, <=50K
 Local-gov, Masters, Not-in-family, Female, <=50K
 Local-gov, Some-college, Own-child, Female, <=50K
 Local-gov, Some-college, Not-in-family, Female, <=50K
 Local-gov, Some-college, Not-in-family, Female, <=50K
 Local-gov, Bachelors, Wife, Female, >50K
 Local-gov, Masters, Husband, Male, >50K
 Local-gov, Assoc-voc, Husband, Male, >50K
 Local-gov, Bachelors, Husband, Male, >50K
 Local-gov, Some-college, Not-in-family, Female, <=50K
 Local-gov, Bachelors, Own-child, Male, <=50K
 Local-gov, Masters, Husband, Male, >50K
 Local-gov, Bachelors, Wife, Female, >50K
 Local-gov, Masters, Own-child, Female, <=50K
 Local-gov, HS-grad, Husband, Male, >50K
 Local-gov, Masters, Unmarried, Female, <=50K
 Local-gov, Some-college, Other-relative, Female, <=50K
 Local-gov, Some-college, Not-in-family, Male, >50K
 Local-gov, Masters, Husband, Male, <=50K
 Local-gov, HS-grad, Husband, Male, <=50K
 Local-gov, Some-college, Husband, Male, <=50K
 Local-gov, HS-grad, Husband, Male, >50K
 Local-gov, HS-grad, Husband, Male, >50K
 Local-gov, HS-grad, Husband, Male, <=50K
 Local-gov, Masters, Unmarried, Female, <=50K
 Local-gov, HS-grad, Unmarried, Female, <=50K
 Local-gov, HS-grad, Husband, Male, <=50K
 Local-gov, Assoc-acdm, Husband, Male, >50K
 Local-gov, Bachelors, Not-in-family, Female, <=50K
 Local-gov, HS-grad, Other-relative, Female, <=50K
 Local-gov, 7th-8th, Unmarried, Female, <=50K
 Local-gov, Bachelors, Not-in-family, Male, >50K
 Local-gov, Bachelors, Wife, Female, >50K
 Local-gov, Masters, Wife, Female, >50K
 Local-gov, Assoc-voc, Own-child, Female, <=50K
 Local-gov, Prof-school, Husband, Male, >50K
 Local-gov, HS-grad, Husband, Male, <=50K
 Local-gov, Bachelors, Not-in-family, Male, <=50K
 Local-gov, Masters, Husband, Male, >50K
 Local-gov, Some-college, Unmarried, Female, <=50K
 Local-gov, Masters, Not-in-family, Female, <=50K
 Local-gov, HS-grad, Own-child, Female, <=50K
 Local-gov, Masters, Not-in-family, Male, >50K
 Local-gov, HS-grad, Wife, Female, >50K
 Local-gov, Masters, Not-in-family, Female, <=50K
 Local-gov, Assoc-acdm, Husband, Male, <=50K
 Local-gov, Some-college, Not-in-family, Male, <=50K
 Local-gov, HS-grad, Not-in-family, Female, <=50K
 Local-gov, Masters, Husband, Male, >50K
 Local-gov, 11th, Unmarried, Female, <=50K
 Local-gov, HS-grad, Unmarried, Female, <=50K
 Local-gov, 10th, Husband, Male, >50K
 Local-gov, HS-grad, Own-child, Female, <=50K
 Local-gov, Some-college, Husband, Male, <=50K
 Local-gov, Bachelors, Husband, Male, >50K
 Local-gov, HS-grad, Husband, Male, <=50K
 Local-gov, Masters, Not-in-family, Female, <=50K
 Local-gov, HS-grad, Husband, Male, <=50K
 Local-gov, Some-college, Unmarried, Female, <=50K
 Local-gov, Some-college, Husband, Male, >50K
 Local-gov, Bachelors, Not-in-family, Female, <=50K
 Local-gov, Bachelors, Wife, Female, >50K
 Local-gov, Bachelors, Not-in-family, Male, <=50K
 Local-gov, Bachelors, Other-relative, Female, <=50K
 Local-gov, Some-college, Husband, Male, <=50K
 Local-gov, HS-grad, Husband, Male, <=50K
 Local-gov, Bachelors, Not-in-family, Male, <=50K
 Local-gov, Some-college, Own-child, Male, <=50K
 Local-gov, Masters, Not-in-family, Female, <=50K
 Local-gov, Bachelors, Husband, Male, <=50K
 Local-gov, HS-grad, Unmarried, Female, <=50K
 Local-gov, Some-college, Not-in-family, Female, <=50K
 Local-gov, Bachelors, Husband, Male, <=50K
 Local-gov, HS-grad, Other-relative, Female, <=50K
 Local-gov, Masters, Husband, Male, <=50K
 Local-gov, Assoc-acdm, Husband, Male, >50K
 Local-gov, Bachelors, Not-in-family, Male, <=50K
 Local-gov, 7th-8th, Not-in-family, Female, <=50K
 Local-gov, HS-grad, Husband, Male, >50K
 Local-gov, 9th, Husband, Male, <=50K
 Local-gov, Bachelors, Not-in-family, Female, <=50K
 Local-gov, Some-college, Unmarried, Female, <=50K
 Local-gov, Bachelors, Not-in-family, Male, <=50K
 Local-gov, HS-grad, Husband, Male, >50K
 Local-gov, Masters, Unmarried, Female, <=50K
 Local-gov, Bachelors, Husband, Male, >50K
 Local-gov, Some-college, Not-in-family, Male, >50K
 Local-gov, Masters, Husband, Male, >50K
 Local-gov, Bachelors, Unmarried, Female, <=50K
 Local-gov, Bachelors, Husband, Male, >50K
 Local-gov, Bachelors, Husband, Male, >50K
 Local-gov, Some-college, Own-child, Male, <=50K
 Local-gov, Bachelors, Husband, Male, >50K
 Local-gov, HS-grad, Not-in-family, Female, <=50K
 Local-gov, Bachelors, Husband, Male, <=50K
 Local-gov, HS-grad, Unmarried, Female, <=50K
 Local-gov, HS-grad, Wife, Female, <=50K
 Local-gov, Bachelors, Not-in-family, Female, <=50K
 Local-gov, Bachelors, Own-child, Female, <=50K
 Local-gov, Bachelors, Husband, Male, >50K
 Local-gov, Masters, Husband, Male, >50K
 Local-gov, Bachelors, Wife, Female, >50K
 Local-gov, Bachelors, Unmarried, Female, <=50K
 Local-gov, Some-college, Unmarried, Female, <=50K
 Local-gov, Masters, Not-in-family, Female, <=50K
 Local-gov, 9th, Husband, Male, <=50K
 Local-gov, Bachelors, Husband, Male, <=50K
 Local-gov, Bachelors, Husband, Male, >50K
 Local-gov, Some-college, Husband, Male, <=50K
 Local-gov, Masters, Wife, Female, >50K
 Local-gov, Bachelors, Wife, Female, >50K
 Local-gov, Bachelors, Wife, Female, >50K
 Local-gov, Some-college, Own-child, Male, <=50K
 Local-gov, HS-grad, Own-child, Male, <=50K
 Local-gov, Some-college, Not-in-family, Female, <=50K
 Local-gov, Assoc-acdm, Own-child, Male, <=50K
 Local-gov, Bachelors, Husband, Male, <=50K
 Local-gov, Some-college, Not-in-family, Female, <=50K
 Local-gov, HS-grad, Not-in-family, Female, <=50K
 Local-gov, Some-college, Unmarried, Female, <=50K
 Local-gov, Bachelors, Own-child, Male, <=50K
 Local-gov, Some-college, Husband, Male, <=50K
 Local-gov, Bachelors, Husband, Male, >50K
 Local-gov, HS-grad, Not-in-family, Male, <=50K
 Local-gov, Masters, Unmarried, Female, <=50K
 Local-gov, Some-college, Unmarried, Female, <=50K
 Local-gov, Assoc-acdm, Husband, Male, <=50K
 Local-gov, Masters, Not-in-family, Male, <=50K
 Local-gov, 7th-8th, Husband, Male, <=50K
 Local-gov, Some-college, Unmarried, Male, <=50K
 Local-gov, HS-grad, Unmarried, Male, <=50K
 Local-gov, Bachelors, Husband, Male, >50K
 Local-gov, Some-college, Husband, Male, <=50K
 Local-gov, Masters, Husband, Male, >50K
 Local-gov, Prof-school, Husband, Male, >50K
 Local-gov, HS-grad, Own-child, Female, <=50K
 Local-gov, Masters, Unmarried, Male, >50K
 Local-gov, Assoc-voc, Unmarried, Female, <=50K
 Local-gov, Some-college, Wife, Female, <=50K
 Local-gov, HS-grad, Wife, Female, >50K
 Local-gov, Some-college, Own-child, Male, <=50K
 Local-gov, HS-grad, Not-in-family, Female, <=50K
 Local-gov, HS-grad, Husband, Male, <=50K
 Local-gov, 11th, Unmarried, Male, <=50K
 Local-gov, Doctorate, Husband, Male, <=50K
 Local-gov, Bachelors, Husband, Male, <=50K
 Local-gov, Some-college, Husband, Male, <=50K
 Local-gov, Bachelors, Not-in-family, Female, <=50K
 Local-gov, HS-grad, Husband, Male, <=50K
 Local-gov, Masters, Not-in-family, Male, >50K
 Local-gov, Bachelors, Husband, Male, <=50K
 Local-gov, Some-college, Husband, Male, >50K
 Local-gov, 10th, Not-in-family, Male, <=50K
 Local-gov, Some-college, Husband, Male, <=50K
 Local-gov, HS-grad, Other-relative, Male, <=50K
 Local-gov, HS-grad, Husband, Male, <=50K
 Local-gov, 10th, Husband, Male, <=50K
 Local-gov, 12th, Husband, Male, <=50K
 Local-gov, Bachelors, Wife, Female, >50K
 Local-gov, Masters, Not-in-family, Female, <=50K
 Local-gov, Masters, Husband, Male, >50K
 Local-gov, Masters, Not-in-family, Female, <=50K
 Local-gov, HS-grad, Unmarried, Female, <=50K
 Local-gov, Some-college, Husband, Male, <=50K
 Local-gov, Assoc-voc, Own-child, Female, <=50K
 Local-gov, Prof-school, Husband, Male, >50K
 Local-gov, Bachelors, Own-child, Female, <=50K
 Local-gov, Masters, Not-in-family, Female, <=50K
 Local-gov, Masters, Not-in-family, Female, <=50K
 Local-gov, Some-college, Not-in-family, Male, <=50K
 Local-gov, Assoc-acdm, Husband, Male, <=50K
 Local-gov, Bachelors, Husband, Male, <=50K
 Local-gov, 7th-8th, Not-in-family, Female, <=50K
 Local-gov, Bachelors, Husband, Male, <=50K
 Local-gov, Bachelors, Not-in-family, Female, >50K
 Local-gov, HS-grad, Husband, Male, >50K
 Local-gov, Some-college, Not-in-family, Male, <=50K
 Local-gov, Some-college, Unmarried, Female, <=50K
 Local-gov, Some-college, Not-in-family, Female, <=50K
 Local-gov, Some-college, Other-relative, Male, <=50K
 Local-gov, Assoc-voc, Husband, Male, <=50K
 Local-gov, Masters, Husband, Male, <=50K
 Local-gov, Bachelors, Own-child, Female, <=50K
 Local-gov, Bachelors, Husband, Male, >50K
 Local-gov, Some-college, Unmarried, Female, <=50K
 Local-gov, Masters, Not-in-family, Female, <=50K
 Local-gov, Masters, Husband, Male, <=50K
 Local-gov, HS-grad, Unmarried, Female, <=50K
 Local-gov, Bachelors, Husband, Male, <=50K
 Local-gov, Bachelors, Husband, Male, >50K
 Local-gov, Masters, Husband, Male, <=50K
 Local-gov, Bachelors, Husband, Male, >50K
 Local-gov, Assoc-voc, Unmarried, Female, <=50K
 Local-gov, Some-college, Not-in-family, Female, <=50K
 Local-gov, HS-grad, Husband, Male, <=50K
 Local-gov, Some-college, Husband, Male, >50K
 Local-gov, Assoc-acdm, Own-child, Female, <=50K
 Local-gov, 10th, Husband, Male, <=50K
 Local-gov, Bachelors, Husband, Male, >50K
 Local-gov, 10th, Husband, Male, <=50K
 Local-gov, HS-grad, Not-in-family, Male, <=50K
 Local-gov, Masters, Husband, Male, >50K
 Local-gov, Some-college, Own-child, Female, >50K
 Local-gov, HS-grad, Unmarried, Male, <=50K
 Local-gov, Bachelors, Not-in-family, Female, >50K
 Local-gov, Bachelors, Husband, Male, >50K
 Local-gov, Masters, Husband, Male, >50K
 Local-gov, Bachelors, Unmarried, Female, <=50K
 Local-gov, Assoc-voc, Unmarried, Male, <=50K
 Local-gov, Some-college, Husband, Male, <=50K
 Local-gov, Bachelors, Husband, Male, >50K
 Local-gov, 11th, Own-child, Female, <=50K
 Local-gov, Bachelors, Not-in-family, Female, <=50K
 Local-gov, Masters, Wife, Female, >50K
 Local-gov, Some-college, Own-child, Female, <=50K
 Local-gov, Masters, Husband, Male, <=50K
 Local-gov, Assoc-acdm, Unmarried, Female, <=50K
 Local-gov, Assoc-voc, Wife, Female, >50K
 Local-gov, HS-grad, Husband, Male, <=50K
 Local-gov, Some-college, Husband, Male, <=50K
 Local-gov, Some-college, Husband, Male, >50K
 Local-gov, Some-college, Own-child, Male, <=50K
 Local-gov, HS-grad, Husband, Male, <=50K
 Local-gov, Masters, Not-in-family, Female, <=50K
 Local-gov, Bachelors, Not-in-family, Male, <=50K
 Local-gov, HS-grad, Not-in-family, Male, >50K
 Local-gov, Some-college, Husband, Male, >50K
 Local-gov, HS-grad, Own-child, Male, <=50K
 Local-gov, Masters, Wife, Female, <=50K
 Local-gov, 5th-6th, Husband, Male, <=50K
 Local-gov, Masters, Not-in-family, Female, <=50K
 Local-gov, HS-grad, Husband, Male, <=50K
 Local-gov, Bachelors, Other-relative, Male, <=50K
 Local-gov, HS-grad, Not-in-family, Male, <=50K
 Local-gov, HS-grad, Husband, Male, <=50K
 Local-gov, Some-college, Husband, Male, <=50K
 Local-gov, HS-grad, Unmarried, Female, <=50K
 Local-gov, HS-grad, Husband, Male, <=50K
 Local-gov, Bachelors, Not-in-family, Female, <=50K
 Local-gov, Bachelors, Not-in-family, Female, <=50K
 Local-gov, HS-grad, Husband, Male, >50K
 Local-gov, HS-grad, Husband, Male, <=50K
 Local-gov, HS-grad, Own-child, Male, <=50K
 Local-gov, Some-college, Own-child, Male, <=50K
 Local-gov, Prof-school, Husband, Male, <=50K
 Local-gov, Some-college, Own-child, Female, <=50K
 Local-gov, HS-grad, Not-in-family, Female, <=50K
 Local-gov, Some-college, Husband, Male, >50K
 Local-gov, Bachelors, Not-in-family, Male, <=50K
 Local-gov, Some-college, Husband, Male, <=50K
 Local-gov, HS-grad, Unmarried, Female, <=50K
 Local-gov, Bachelors, Own-child, Male, <=50K
 Local-gov, Masters, Wife, Female, <=50K
 Local-gov, Some-college, Not-in-family, Female, <=50K
 Local-gov, 10th, Husband, Male, <=50K
 Local-gov, Some-college, Husband, Male, >50K
 Local-gov, Masters, Husband, Male, >50K
 Local-gov, Some-college, Not-in-family, Male, <=50K
 Local-gov, Bachelors, Own-child, Female, <=50K
 Local-gov, Bachelors, Own-child, Female, <=50K
 Local-gov, Assoc-voc, Husband, Male, >50K
 Local-gov, Some-college, Unmarried, Female, <=50K
 Local-gov, Bachelors, Unmarried, Female, <=50K
 Local-gov, HS-grad, Husband, Male, >50K
 Local-gov, Masters, Unmarried, Female, <=50K
 Local-gov, HS-grad, Own-child, Male, <=50K
 Local-gov, Bachelors, Not-in-family, Female, <=50K
 Local-gov, HS-grad, Own-child, Male, <=50K
 Local-gov, 10th, Other-relative, Male, <=50K
 Local-gov, HS-grad, Husband, Male, <=50K
 Local-gov, HS-grad, Husband, Male, <=50K
 Local-gov, HS-grad, Husband, Male, <=50K
 Local-gov, HS-grad, Unmarried, Female, <=50K
 Local-gov, Bachelors, Wife, Female, >50K
 Local-gov, HS-grad, Husband, Male, <=50K
 Local-gov, Some-college, Other-relative, Male, <=50K
 Local-gov, Doctorate, Unmarried, Female, <=50K
 Local-gov, Bachelors, Husband, Male, <=50K
 Local-gov, Assoc-voc, Own-child, Female, <=50K
 Local-gov, Doctorate, Not-in-family, Female, >50K
 Local-gov, 9th, Husband, Male, <=50K
 Local-gov, HS-grad, Own-child, Male, <=50K
 Local-gov, 11th, Husband, Male, <=50K
 Local-gov, Bachelors, Wife, Female, >50K
 Local-gov, Some-college, Not-in-family, Female, <=50K
 Local-gov, Some-college, Not-in-family, Male, <=50K
 Local-gov, HS-grad, Husband, Male, >50K
 Local-gov, Bachelors, Not-in-family, Female, >50K
 Local-gov, Masters, Husband, Male, >50K
 Local-gov, Masters, Unmarried, Female, <=50K
 Local-gov, Masters, Husband, Male, >50K
 Local-gov, Some-college, Own-child, Male, <=50K
 Local-gov, HS-grad, Not-in-family, Male, <=50K
 Local-gov, HS-grad, Unmarried, Female, <=50K
 Local-gov, Some-college, Own-child, Female, <=50K
 Local-gov, HS-grad, Other-relative, Male, <=50K
 Local-gov, Prof-school, Husband, Male, >50K
 Local-gov, Assoc-voc, Not-in-family, Male, <=50K
 Local-gov, HS-grad, Not-in-family, Male, <=50K
 Local-gov, 12th, Husband, Male, <=50K
 Local-gov, Some-college, Unmarried, Female, <=50K
 Local-gov, Masters, Unmarried, Female, <=50K
 Local-gov, Assoc-acdm, Own-child, Female, <=50K
 Local-gov, Some-college, Husband, Male, <=50K
 Local-gov, Assoc-acdm, Husband, Male, <=50K
 Local-gov, Some-college, Husband, Male, <=50K
 Local-gov, Assoc-voc, Unmarried, Male, <=50K
 Local-gov, HS-grad, Wife, Female, >50K
 Local-gov, Assoc-acdm, Husband, Male, >50K
 Local-gov, HS-grad, Unmarried, Female, <=50K
 Local-gov, Bachelors, Unmarried, Female, <=50K
 Local-gov, Bachelors, Husband, Male, <=50K
 Local-gov, Bachelors, Not-in-family, Male, <=50K
 Local-gov, 12th, Unmarried, Female, <=50K
 Local-gov, HS-grad, Unmarried, Female, <=50K
 Local-gov, Masters, Husband, Male, >50K
 Local-gov, Masters, Wife, Female, >50K
 Local-gov, Some-college, Unmarried, Female, <=50K
 Local-gov, HS-grad, Own-child, Female, <=50K
 Local-gov, Assoc-voc, Not-in-family, Male, <=50K
 Local-gov, Some-college, Husband, Male, >50K
 Local-gov, HS-grad, Husband, Male, <=50K
 Local-gov, Assoc-voc, Husband, Male, <=50K
 Local-gov, Masters, Not-in-family, Female, <=50K
 Local-gov, HS-grad, Own-child, Male, <=50K
 Local-gov, Bachelors, Unmarried, Female, <=50K
 Local-gov, Masters, Husband, Male, <=50K
 Local-gov, HS-grad, Husband, Male, <=50K
 Local-gov, Bachelors, Own-child, Male, <=50K
 Local-gov, Some-college, Unmarried, Female, <=50K
 Local-gov, 10th, Unmarried, Male, <=50K
 Local-gov, Bachelors, Husband, Male, <=50K
 Local-gov, Bachelors, Husband, Male, >50K
 Local-gov, Some-college, Husband, Male, >50K
 Local-gov, HS-grad, Not-in-family, Male, <=50K
 Local-gov, 11th, Own-child, Male, <=50K
 Local-gov, Bachelors, Own-child, Female, <=50K
 Local-gov, Some-college, Not-in-family, Male, >50K
 Local-gov, Doctorate, Wife, Female, >50K
 Local-gov, Bachelors, Own-child, Male, <=50K
 Local-gov, HS-grad, Other-relative, Female, <=50K
 Local-gov, Some-college, Not-in-family, Male, <=50K
 Local-gov, Bachelors, Not-in-family, Female, <=50K
 Local-gov, Masters, Husband, Male, >50K
 Local-gov, 10th, Husband, Male, <=50K
 Local-gov, Doctorate, Unmarried, Female, <=50K
 Local-gov, Masters, Not-in-family, Female, <=50K
 Local-gov, HS-grad, Husband, Male, <=50K
 Local-gov, HS-grad, Husband, Male, <=50K
 Local-gov, HS-grad, Husband, Male, <=50K
 Local-gov, Masters, Wife, Female, >50K
 Local-gov, Some-college, Not-in-family, Male, <=50K
 Local-gov, HS-grad, Husband, Male, >50K
 Local-gov, Bachelors, Own-child, Male, <=50K
 Local-gov, Assoc-voc, Not-in-family, Female, <=50K
 Local-gov, HS-grad, Husband, Male, <=50K
 Local-gov, Assoc-voc, Husband, Male, <=50K
 Local-gov, HS-grad, Husband, Male, <=50K
 Local-gov, Masters, Unmarried, Female, >50K
 Local-gov, Bachelors, Unmarried, Male, <=50K
 Local-gov, Bachelors, Not-in-family, Female, <=50K
 Local-gov, Bachelors, Husband, Male, <=50K
 Local-gov, Assoc-voc, Not-in-family, Male, <=50K
 Local-gov, HS-grad, Husband, Male, <=50K
 Local-gov, HS-grad, Not-in-family, Female, <=50K
 Local-gov, HS-grad, Wife, Female, <=50K
 Local-gov, Masters, Husband, Male, <=50K
 Local-gov, Bachelors, Unmarried, Female, <=50K
 Local-gov, HS-grad, Not-in-family, Female, <=50K
 Local-gov, HS-grad, Unmarried, Male, <=50K
 Local-gov, Masters, Wife, Female, >50K
 Local-gov, Assoc-voc, Husband, Male, >50K
 Local-gov, Bachelors, Not-in-family, Female, >50K
 Local-gov, HS-grad, Not-in-family, Female, <=50K
 Local-gov, Bachelors, Husband, Male, <=50K
 Local-gov, HS-grad, Not-in-family, Female, <=50K
 Local-gov, 7th-8th, Not-in-family, Male, <=50K
 Local-gov, Some-college, Husband, Male, >50K
 Local-gov, Bachelors, Husband, Male, >50K
 Local-gov, Assoc-acdm, Not-in-family, Male, <=50K
 Local-gov, Some-college, Husband, Male, >50K
 Local-gov, Masters, Own-child, Female, <=50K
 Local-gov, Bachelors, Wife, Female, <=50K
 Local-gov, Some-college, Not-in-family, Female, <=50K
 Local-gov, Doctorate, Unmarried, Female, <=50K
 Local-gov, Masters, Not-in-family, Female, >50K
 Local-gov, Assoc-voc, Husband, Male, >50K
 Local-gov, HS-grad, Husband, Male, >50K
 Local-gov, Bachelors, Unmarried, Female, <=50K
 Local-gov, HS-grad, Other-relative, Female, <=50K
 Local-gov, Bachelors, Husband, Male, >50K
 Local-gov, Bachelors, Wife, Female, >50K
 Local-gov, HS-grad, Wife, Female, <=50K
 Local-gov, HS-grad, Own-child, Female, <=50K
 Local-gov, Bachelors, Husband, Male, <=50K
 Local-gov, HS-grad, Own-child, Female, <=50K
 Local-gov, Masters, Unmarried, Female, <=50K
 Local-gov, Bachelors, Own-child, Male, >50K
 Local-gov, HS-grad, Husband, Male, <=50K
 Local-gov, Some-college, Unmarried, Female, <=50K
 Local-gov, Assoc-voc, Husband, Male, <=50K
 Local-gov, Bachelors, Not-in-family, Female, <=50K
 Local-gov, Bachelors, Not-in-family, Male, <=50K
 Local-gov, HS-grad, Unmarried, Male, <=50K
 Local-gov, 7th-8th, Own-child, Male, <=50K
 Local-gov, HS-grad, Unmarried, Female, <=50K
 Local-gov, HS-grad, Husband, Male, <=50K
 Local-gov, HS-grad, Husband, Male, >50K
 Local-gov, Bachelors, Husband, Male, <=50K
 Local-gov, Bachelors, Not-in-family, Female, <=50K
 Local-gov, Some-college, Husband, Male, >50K
 Local-gov, Assoc-voc, Not-in-family, Male, <=50K
 Local-gov, Masters, Not-in-family, Female, <=50K
 Local-gov, Bachelors, Husband, Male, >50K
 Local-gov, Assoc-voc, Husband, Male, >50K
 Local-gov, HS-grad, Own-child, Female, <=50K
 Local-gov, Bachelors, Unmarried, Female, <=50K
 Local-gov, Masters, Husband, Male, >50K
 Local-gov, Assoc-voc, Unmarried, Female, <=50K
 Local-gov, Assoc-acdm, Not-in-family, Female, <=50K
 Local-gov, Masters, Not-in-family, Male, <=50K
 Local-gov, HS-grad, Unmarried, Female, <=50K
 Local-gov, HS-grad, Husband, Male, <=50K
 Local-gov, HS-grad, Husband, Male, >50K
 Local-gov, HS-grad, Not-in-family, Female, <=50K
 Local-gov, Doctorate, Husband, Male, >50K
 Local-gov, HS-grad, Husband, Male, <=50K
 Local-gov, Some-college, Not-in-family, Female, <=50K
 Local-gov, Bachelors, Not-in-family, Female, <=50K
 Local-gov, Masters, Wife, Female, >50K
 Local-gov, Bachelors, Husband, Male, <=50K
 Local-gov, HS-grad, Husband, Male, <=50K
 Local-gov, Bachelors, Unmarried, Female, <=50K
 Local-gov, 7th-8th, Husband, Male, <=50K
 Local-gov, Bachelors, Not-in-family, Male, <=50K
 Local-gov, Some-college, Husband, Male, <=50K
 Local-gov, Some-college, Not-in-family, Female, <=50K
 Local-gov, HS-grad, Husband, Male, <=50K
 Local-gov, Some-college, Unmarried, Male, <=50K
 Local-gov, Some-college, Own-child, Female, <=50K
 Local-gov, Masters, Not-in-family, Female, >50K
 Local-gov, Assoc-acdm, Husband, Male, >50K
 Local-gov, Bachelors, Wife, Female, >50K
 Local-gov, Bachelors, Husband, Male, >50K
 Local-gov, Bachelors, Not-in-family, Female, >50K
 Local-gov, Bachelors, Wife, Female, >50K
 Local-gov, Assoc-acdm, Husband, Male, <=50K
 Local-gov, Masters, Unmarried, Female, <=50K
 Local-gov, Some-college, Husband, Male, >50K
 Local-gov, Masters, Wife, Female, >50K
 Local-gov, Masters, Not-in-family, Female, <=50K
 Local-gov, Some-college, Husband, Male, <=50K
 Local-gov, Some-college, Wife, Female, >50K
 Local-gov, Doctorate, Husband, Male, >50K
 Local-gov, Bachelors, Not-in-family, Male, <=50K
 Local-gov, Bachelors, Husband, Male, >50K
 Local-gov, Some-college, Not-in-family, Male, <=50K
 Local-gov, 12th, Husband, Male, <=50K
 Local-gov, Assoc-acdm, Unmarried, Female, <=50K
 Local-gov, Some-college, Not-in-family, Female, <=50K
 Local-gov, Bachelors, Husband, Male, <=50K
 Local-gov, Some-college, Unmarried, Female, <=50K
 Local-gov, HS-grad, Own-child, Male, <=50K
 Local-gov, HS-grad, Husband, Male, <=50K
 Local-gov, Some-college, Not-in-family, Female, <=50K
 Local-gov, Masters, Husband, Male, <=50K
 Local-gov, Some-college, Husband, Male, <=50K
 Local-gov, Some-college, Not-in-family, Female, <=50K
 Local-gov, Bachelors, Husband, Male, <=50K
 Local-gov, Doctorate, Husband, Male, >50K
 Local-gov, Preschool, Own-child, Female, <=50K
 Local-gov, HS-grad, Other-relative, Male, <=50K
 Local-gov, Some-college, Not-in-family, Female, >50K
 Local-gov, Masters, Not-in-family, Female, <=50K
 Local-gov, Bachelors, Husband, Male, >50K
 Local-gov, Masters, Not-in-family, Male, <=50K
 Local-gov, HS-grad, Not-in-family, Female, <=50K
 Local-gov, Bachelors, Unmarried, Female, <=50K
 Local-gov, Bachelors, Husband, Male, >50K
 Local-gov, HS-grad, Husband, Male, >50K
 Local-gov, Bachelors, Not-in-family, Male, <=50K
 Local-gov, Masters, Husband, Male, >50K
 Local-gov, Masters, Unmarried, Female, <=50K
 Local-gov, Some-college, Husband, Male, <=50K
 Local-gov, HS-grad, Unmarried, Female, <=50K
 Local-gov, Some-college, Not-in-family, Female, <=50K
 Local-gov, Some-college, Husband, Male, >50K
 Local-gov, HS-grad, Husband, Male, <=50K
 Local-gov, HS-grad, Husband, Male, >50K
 Local-gov, Bachelors, Husband, Male, <=50K
 Local-gov, Some-college, Not-in-family, Male, <=50K
 Local-gov, 10th, Own-child, Female, <=50K
 Local-gov, HS-grad, Unmarried, Female, <=50K
 Local-gov, Masters, Not-in-family, Male, <=50K
 Local-gov, Bachelors, Unmarried, Female, <=50K
 Local-gov, Masters, Husband, Male, >50K
 Local-gov, Masters, Not-in-family, Male, <=50K
 Local-gov, HS-grad, Not-in-family, Female, <=50K
 Local-gov, Some-college, Unmarried, Female, <=50K
 Local-gov, HS-grad, Own-child, Male, <=50K
 Local-gov, HS-grad, Husband, Male, <=50K
 Local-gov, Masters, Not-in-family, Female, <=50K
 Local-gov, Prof-school, Husband, Male, >50K
 Local-gov, Bachelors, Husband, Male, >50K
 Local-gov, Masters, Not-in-family, Female, <=50K
 Local-gov, Bachelors, Other-relative, Male, <=50K
 Local-gov, HS-grad, Unmarried, Male, <=50K
 Local-gov, Some-college, Husband, Male, <=50K
 Local-gov, Some-college, Husband, Male, >50K
 Local-gov, HS-grad, Husband, Male, <=50K
 Local-gov, Bachelors, Own-child, Female, <=50K
 Local-gov, HS-grad, Husband, Male, >50K
 Local-gov, Masters, Husband, Male, >50K
 Local-gov, HS-grad, Unmarried, Female, <=50K
 Local-gov, Bachelors, Wife, Female, >50K
 Local-gov, Some-college, Unmarried, Male, >50K
 Local-gov, Masters, Not-in-family, Female, <=50K
 Local-gov, Masters, Husband, Male, >50K
 Local-gov, Masters, Wife, Female, >50K
 Local-gov, 1st-4th, Husband, Male, <=50K
 Local-gov, Some-college, Unmarried, Female, <=50K
 Local-gov, Some-college, Not-in-family, Male, <=50K
 Local-gov, HS-grad, Own-child, Female, <=50K
 Local-gov, Masters, Husband, Male, >50K
 Local-gov, Some-college, Husband, Male, <=50K
 Local-gov, Some-college, Own-child, Female, <=50K
 Local-gov, 9th, Husband, Male, <=50K
 Local-gov, HS-grad, Husband, Male, >50K
 Local-gov, 10th, Own-child, Female, <=50K
 Local-gov, Masters, Wife, Female, >50K
 Local-gov, Some-college, Own-child, Female, <=50K
 Local-gov, 11th, Own-child, Male, <=50K
 Local-gov, Masters, Wife, Female, >50K
